,No,Response
4018,4018,"Voici le compte-rendu de mon essai de la Zoé effectué aujourd'hui. Je me suis lâché sur les photos  . Je l'ai louée via Renault-Rent (sur Internet) pour 35€ la journée (assurance comprise).Comme indiqué plus haut je roule en Prius II, comme n'importe quel possesseur d'hybride (en tout cas j'imagine) l'envie d'essayer une électrique s'est vite fait sentir tant les moments où on évolue en mode électrique sont agréables (mais fugaces). J'avais déjà eu l'occasion il y a très longtemps (une bonne dizaine d'années) d'être le passager d'une Saxo électrique mise à la disposition par EDF. Je dois bien dire que la Zoé m'a tapé dans l'œil dès le départ. C'est donc avec beaucoup d'impatience que je me suis glissé à son volant pour une journée et 100kms parcourus à son volant. Je n'ai pas été déçu, très loin de là  .Il est 9H du matin, la voiture est prête à partir, la batterie est pleine. Elle totalise un peu plus de 2000kms et est garée devant la borne de recharge de la concession.L'ordinateur de bord indique 128kms d'autonomie :Après un petit debriefing sur le fonctionnement de la voiture (que je connais déjà vu que mon hybride fonctionne -à peu-près- de la même manière : petit sélecteur de vitesse, bouton de démarrage, sécurité avec le pied sur le frein...) je m'envole vers ma destination. Envoler car je dois bien avouer que les premiers mètres sont les plus déroutants : absence totale de bruit (sauf un léger sifflement rappelant une turbine d'avion mise en sourdine) ou de vibrations, fluidité extraordinaire (pas d'à-coups) et vivacité surprenante.Une fois ces premières considérations passées on s'aperçoit vite que la ville est son terrain de jeu privilégié : elle démarre rapidement aux feux ou aux rond-point (idéal pour s'insérer rapidement), on ne s'embête pas à passer les vitesses en permanence, bref le bonheur.Sortie de la ville la Zoé ne démérite pas pour autant avec de belles reprises (notamment le 50-90km/h rapidement abattu, les colle-au-cul en sont pour leurs frais) et un silence presque parfait (il reste quand même des bruits d'air et de roulement mais à un faible niveau). J'ai trouvé la direction plutôt précise et communicative, on est bien loin du volant de ma Prius que je trouve trop déconnecté de la route. J'ai également été étonné par la tenue de route, notamment dans les rond-point où la Zoé prend peu de roulis (on aurait pu penser le contraire vu le poids des batteries mais il n'en est rien).En appuyant sur le frein ou en levant suffisamment le pied la fonction régénérative s'enclenche, j'ai ainsi pu récupérer quelques précieux kilomètres d'autonomie. Pour regagner mon domicile (80% de départementale à 90km/h, le reste de ville) j'ai été plutôt modéré avec mon pied droit, j'ai essayé de régénérer le maximum d'énergie (mon ""expérience"" en hybride est d'ailleurs profitable puisque j'ai déjà des automatismes adoptés avec la Prius : anticiper la décélération en cas de feu rouge, lever de pied avant de rentrer dans un village à 50km/h, freinage plus long plutôt que court avec le risque de déclencher les freins ""classiques""...). S'agissant de ces derniers je n'ai d'ailleurs pas ressenti de temps de réponse en cas de freinage. Je n'ai pas eu la sensation que j'ai quand je freine avec ma Prius où un très très court instant on a l'impression que la voiture est en roue libre avant qu'elle freine réellement. Ça parait dangereux mais il n'en est rien, je vous rassure tout de suite  .En arrivant à la maison après 37kms voici ce que m'indique l'ordinateur. Je ne me suis pas servi de la ventilation (qui est donc restée coupée) :Le résumé ""Eco2"" de ma conduite, plutôt instructif  :Quelques photos plus générales (désolé pour la propreté de la voiture, j'habite dans les bois et elle n'était pas nikel nikel au départ  ) :Les feux arrières à LED sont une vraie réussite à mon goût  :Ma vue préféré de la Zoé :L'intérieur est parsemé de détails sympa. Ça a été le GROS coup de cœur de mes proches. C'est gai, lumineux et plutôt bien agencé (faut juste aimer la grosse tablette tactile  ). L'intérieur de ma Prius fait vraiment vieillot et sombre à côté (c'est normal, il l'est  ). A vrai dire je m'en fous de savoir si les plastiques sont moussés ou non, ce qui m'importe en revanche c'est que cet intérieur est très agréable au regard et n'est pas austère pour un sou. Ça change des allemandes.Ces sièges sont très agréable, que ce soit au regard ou assis dedans. L'appui-tête (si je puis dire puisque le siège est d'un seul tenant) tombe bien sous le têteLe cœur de la bête :La navigation sur R-Link est agréable. L'option navigation n'était pas disponible sur ma Zoé :Après m'être un peu baladé à son bord et avoir passé le volant à un ami qui n'avait jamais conduit ou été passager d'un VE (et qui a d'ailleurs été subjugué par la conduite de la Zoé) il est déjà l'heure de rendre la voiture, vu qu'il me reste largement assez de batterie pour ramener la voiture j'en profite pour faire quelques grosses accélérations dont un 0-100  . La sensation d'accélération est encore plus bizarre que dans ma Prius : ca pousse (et même plutôt correctement d'ailleurs) mais on le sent pas, c'est très déroutant (et très agréable  ). En revanche ca gueule pas comme ma Toyota qui mouline dès qu'on titille trop fort l'accélérateur.Même topo pour le retour : une grosse majorité de départementale à 90km/h et pour finir de la ville (ratio que j'estimerai à 20% du trajet retour). Cette fois-ci la ventilation est en marche pour chasser la buée (de même que les phares).J'ai parcouru près de 105kms avant de la rendre avec une utilisation pas forcément très recommandée d'un point de vue économique (surtout sur la 2ème partie de journée), l'ordinateur affichait encore 20kms d'autonomie. L'autonomie annoncée au départ me paraît donc tout à fait cohérente et je pense qu'avec une utilisation plus raisonnable j'aurai sans doute pu aller un peu plus loin. Toutefois l'objet du test portait également sur l'aspect performances, ce qui explique que je n'ai pas recherché l'économie à tout prix. J'ai été étonné de pouvoir faire légèrement patiner les roues sur un départ un peu appuyé, l'antipatinage de la Zoé semble plus permissif que celui de la Prius qui coupe toute accélération dès le moindre signe de dérapage. Contrairement aux apparences je ne suis pas un goret mais l'envie de découvrir les ""ressources"" de cette Zoé était trop forte. Cet essai n'avait rien du rodéo, je vous rassure tout de suite  .Mon bilan? Difficile de rester modéré dans mes propos : j'ai adoré cette voiture et il me tarde d'en reprendre le volant. On se fait très vite à sa douceur, son silence et le fait de rouler affranchi du pétrole (mais pas de la prise électrique) n'est pas forcément pour me déplaire. Ça devient vite addictif  . Cet essai aura permis à ma mère de se découvrir une belle attirance pour la Zoé, au point d'envisager de remplacer un jour son Duster pour elle. Quant à moi je dis bravo à Renault de nous proposer un véhicule électrique aussi attirant/abouti (à part peut-être la regrettable erreur de la Wall Box qui a sans doute pas mal nuit au modèle mais je n'ai pas envie de me lancer dans ce débat...).Après je n'ai pas vécu au quotidien avec elle, je manque donc encore de recul, notamment du point de vue économique  . Toujours est-il qu'en voiture secondaire pour un usage urbain/péri-urbain à raison d'une bonne centaine de kilomètres par jour la Zoé me parait être un choix tout à fait pertinent  . Je pense que beaucoup de gens ont un a-priori négatif sur les électriques, sans doute renforcé par une presse pas toujours très objective (  ). Un essai permettrait bien souvent de lever les doutes.Je sais qu'un jour je roulerai électrique, le plus tôt sera le mieux (avec toutefois ma Prius en renfort, notamment pour les longues distances). Merci de m'avoir lu  .Pour finir une petite photo trollesque en clin d'oeil à Solomuka :"
4019,4019,excellent ton CR 
4020,4020,
4021,4021,"Excellent CR Jezza.J'ai l'impression que j'aurai pu écrire la même chose...J'ai failli l'avoir cette Zoé, mais je sais qu'un jour je l'aurai..."
4022,4022,"Excellent CR, vraiment bien écrit et parsemé de quelques photos c'est vraiment sympa à lire !La Zoé est effectivement super sympa, l'ayant déjà conduit, et j'espère que plus tard les batteries seront un peu plus véloce ce qui dynamisera peut-être les ventes, en tout cas je l'espère !Dans les faits, la majorité des déplacements ne font pas +100km par jour, mais les gens préfère avoir la possibilité de ce dire qu'ils peuvent faire 200 km voir plus (même si c'est pas la voiture principale du foyer)"
4023,4023,Gisèle et la Renault ZOE (essais lecteur du MIDI LIBRE)
4024,4024,"Excellent compte rendu, je suis du même avis "
4025,4025,"Si je devais prendre une 2ième voiture pour rouler un minimum, je n'hésiterais pas et je prendrais une Zoé !"
4026,4026,
4027,4027,
4028,4028,"Excellent compte rendu. Perso, je la préfère en noir, puis bleu puis blanc.Je viens de configurer la Zoé sur le site Renault, je trouve le site mal fait et la Zoé noir est bien mieux en vrai. C'est mal fait au niveau du prix, on ne sait pas comment est déduit le bonus, surtout en LOA !"
4029,4029,"Merci pour vos retours. Une petite question : ca sert à quoi cette fente dans la planche de bord?Je pense au diffuseur d'ambiance, c'est bien ça?Une petite vidéo du 0-100 que j'ai faite hier :"
4030,4030,"Ca semble etre une bonne voiture qui m'aurait interesse a une epoque comme 2e voiture pour aller au boulot et faire mes activites locales. Seul point negatif a mon avis, le cout que je juge eleve pour la location des batteries, 80 euros de memoire, c'est un peu cher, a 50 euros, j'aurais trouve ca acceptable."
4031,4031,"Reprise du message précédent :Ca semble etre une bonne voiture qui m'aurait interesse a une epoque comme 2e voiture pour aller au boulot et faire mes activites locales. Seul point negatif a mon avis, le cout que je juge eleve pour la location des batteries, 80 euros de memoire, c'est un peu cher, a 50 euros, j'aurais trouve ca acceptable."
4032,4032,Je suis partagé sur la question des batteries. D'un côté acheter une voiture puis devoir payer un loyer pour les batteries me choque. De l'autre côté je me dis qu'en cas de pépin Renault changera sans discuter les batteries qui de toute façon ne nous appartiennent pas. Le jour où les batteries sont usées ou obsolètes on repart sur une nouvelle et basta. Mais bon je pense que ce sujet a du être abordé maintes et maintes fois ici  .
4033,4033,Pour ta photo de la page précédente c'est bien pour le diffuseur
4034,4034,
4035,4035,"Ceci dit, 80 euros, c'est un plein de 50 litres par mois en France, c'est ca ?"
4036,4036,
4037,4037,"Cela aurait ete vachement rentable dans mon cas. Je faisais 60 km chaque jour travaille, puis quelques trajets locaux le soir, plus les trajets locaux du week-end.Bon il aurait fallu que je demenage car j'habitais en appartement."
4038,4038,
4039,4039,"Surtout que 630km/mois ca fait 7500km/an, alors que les 80€ de location sont pour 12500km/an.Mais les 8L me semble exagérés, une Clio TCE 90 est donné pour 4,3l/100 en cycle complet, on va dire 6 L x 1,59 x 12500/100 = 1193 € pour 12500km en Zoe 80€ x 12 = 960€ + 250€ = 1210 (2€ d’électricité au 100) donc c'est pratiquement kif kif, et on est perdant si on compare au diesel.Ceci dit il faut aussi tenir compte que l'entretient sera moins cher et la durabilité meilleure avec une électrique.Je pense aussi que quand Renault a fait son mixe prix de vente / prix de loc batterie, il tablait sur un prix des carburants beaucoup plus élevé (en 2008 au plus haut le baril frisait les 150$ aujourd'hui il est de 93$), et aussi la prime d'aide a l'achat n’était que de 5000€.Je pense que si il avait su que le prix des carburants serait si bas et la prime de 7000€ il aurait rééquilibré en vendant la voiture un peu plus cher et la loc un peu moins.Il faut aussi savoir que la batterie coute entre 7 et 8000€ impossible de dire si l’intégralité de ce prix serait reporté sur le prix d'achat de la voiture si elle était vendue avec sa batterie.Mais 8000€ cela représente plus 8 ans de location de batterie. Donc la vrai question pour qui veut une voiture électrique ce n'est pas de comparer a ce que lui coute la loc de la batterie par rapport a un budget carburant (qui ne fera qu'augmenter dans le temps) mais plutôt de savoir s'il préfère lâcher 8000€ tout de suite, peut être même les emprunter ce qui peut lui couter plus de 80€/mois, avec une garantie limitée a 100 000 Km sur la batterie (cf leaf, I3), ou payer 80€/mois et avoir une garantie illimité.Posé comme ca je suis sur que les 80€/mois vous paraisses tout de suite moins rédhibitoire  Enfin il se dit que Renault prépare une offre pour les petits rouleurs a moins de 50€ pour 7500km/an et autour de 60€ pour 10 000 km."
4040,4040,
4041,4041,"pour ma part j'en suis à 6300 kms avec ma Zoé, et toujours ravi"
4042,4042,
4043,4043,La vidéo qui suit est elle aussi très intéressante quant au son à l'intérieur de la voiture : comparable au bruit qu'on entend en voiture hybride HSD
4044,4044,
4045,4045,
4046,4046,Merci à Jezza (voisin de département au passage) pour ce reportage très intéressant. J'ai longuement hésité lors du remplacement il y a quelques semaines entre la Zoé et le Captur finalement j'ai opté pour le Captur  .
4047,4047,
4048,4048,
4049,4049,
4050,4050,
4051,4051,Merci à Jezza 91 pour son excellent c.r. 
4052,4052,"Citation :  Osef, on sait que c'est pas comparable... ce sont les sous qui jouent !A perfs comparables, la Zoe semble avoir des atouts niveau finances. Quel puissance faut-il en diesel (ou en essence) pour avoir les memes accelerations ou reprises) ?"
4053,4053,La Zoé est donné pour 88ch et un couple de 220 Nm. On peut prendre une Clio dCi 90ch et aussi 220Nm avec boite EDC
4054,4054,Tu n'aura pas 220nm de couple au démarrage avec un Diesel comparé à un moteur électrique.220nm de couple est donnée à un certain régime moteur pour les thermiques.
4055,4055,"Mon ex 406 coupe V6 de 194 chevaux faisait le 0 a 100 en 7""9 et mon ex Scenic 2.0T de 165 chevaux le faisait en 8""6. Le jour ou une Clio diesel de 90 chevaux le fait en 8""1 comme la Zoe, je me les coupe La Zoe a des perfs de premier niveau, si l'on excepte la vitesse de pointe dont on se fiche en fait sur ce genre de vehicule essentiellement urbain ou peri-urbain. 130 ou 140 suffisent. Pour accelerer sans etre pied au plancher ou doubler en toute securite sur nationale, c'est une tres bonne voiture."
